"export-plot data (NetLogo 5.0.3)"
"A Bunny_s Life.nlogo"
"02/10/2014 21:38:20:171 -0500"

"MODEL SETTINGS"
"mutation-rate","population-size","number-of-generations"
"0.175","100","250"

"""Best Fitness"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","-98.35","132","true","""best""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""best""","true","0","1","0","250"

"""best"""
"x","y","color","pen down?"
"0","0","0","true"
"-1","0","0","false"
"0","-97.7","0","false"
"1","-98.05","0","true"
"2","-94.3","0","true"
"3","-93.8","0","true"
"4","-93.95","0","true"
"5","-86.2","0","true"
"6","-90.55","0","true"
"7","-87.75","0","true"
"8","-87.75","0","true"
"9","-85.4","0","true"
"10","-84.25","0","true"
"11","-84.05","0","true"
"12","-86.4","0","true"
"13","-82.9","0","true"
"14","-80.6","0","true"
"15","-67.6","0","true"
"16","-74.8","0","true"
"17","-70.25","0","true"
"18","-67.9","0","true"
"19","-37.65","0","true"
"20","22.7","0","true"
"21","7.5","0","true"
"22","-3.4","0","true"
"23","7.5","0","true"
"24","26.7","0","true"
"25","15.5","0","true"
"26","41.35","0","true"
"27","45.05","0","true"
"28","12.5","0","true"
"29","11.45","0","true"
"30","46.65","0","true"
"31","71.65","0","true"
"32","23.4","0","true"
"33","69.25","0","true"
"34","52.55","0","true"
"35","34.05","0","true"
"36","25.3","0","true"
"37","-4.15","0","true"
"38","-15","0","true"
"39","-9.45","0","true"
"40","-36.8","0","true"
"41","-11.35","0","true"
"42","-12.9","0","true"
"43","-21.3","0","true"
"44","-32.35","0","true"
"45","26.4","0","true"
"46","-5.7","0","true"
"47","24.05","0","true"
"48","22.1","0","true"
"49","50.75","0","true"
"50","9.45","0","true"
"51","13.15","0","true"
"52","15.85","0","true"
"53","24.45","0","true"
"54","37.7","0","true"
"55","45.8","0","true"
"56","42.25","0","true"
"57","83.95","0","true"
"58","111.25","0","true"
"59","109.7","0","true"
"60","51.15","0","true"
"61","73.7","0","true"
"62","19","0","true"
"63","58.2","0","true"
"64","90.55","0","true"
"65","96.25","0","true"
"66","108.4","0","true"
"67","33.7","0","true"
"68","52.9","0","true"
"69","100.6","0","true"
"70","48.1","0","true"
"71","47.9","0","true"
"72","82.25","0","true"
"73","27.15","0","true"
"74","24.85","0","true"
"75","-15.2","0","true"
"76","9.8","0","true"
"77","51.95","0","true"
"78","14.3","0","true"
"79","16.35","0","true"
"80","11.05","0","true"
"81","23.6","0","true"
"82","-42.3","0","true"
"83","-43.2","0","true"
"84","-34.45","0","true"
"85","-11.05","0","true"
"86","-26.45","0","true"
"87","87.95","0","true"
"88","46.7","0","true"
"89","23.9","0","true"
"90","40.05","0","true"
"91","30","0","true"
"92","51.45","0","true"
"93","40.05","0","true"
"94","86.05","0","true"
"95","59.1","0","true"
"96","87.75","0","true"
"97","63.4","0","true"
"98","73.45","0","true"
"99","51.65","0","true"
"100","31","0","true"
"101","30.1","0","true"
"102","16.75","0","true"
"103","15.4","0","true"
"104","43.7","0","true"
"105","31.6","0","true"
"106","15.65","0","true"
"107","7.5","0","true"
"108","44.5","0","true"
"109","83.85","0","true"
"110","94.8","0","true"
"111","65.7","0","true"
"112","1.75","0","true"
"113","84.15","0","true"
"114","9.15","0","true"
"115","39.05","0","true"
"116","26.15","0","true"
"117","59.85","0","true"
"118","54","0","true"
"119","51.2","0","true"
"120","59.35","0","true"
"121","80.4","0","true"
"122","39.45","0","true"
"123","39.9","0","true"
"124","68.65","0","true"
"125","81.35","0","true"
"126","83.15","0","true"
"127","31.55","0","true"
"128","93.3","0","true"
"129","18.7","0","true"
"130","13.8","0","true"
"131","80.35","0","true"
"132","64.55","0","true"
"133","19.3","0","true"
"134","21.75","0","true"
"135","-4.4","0","true"
"136","16.4","0","true"
"137","29.45","0","true"
"138","23.8","0","true"
"139","75.55","0","true"
"140","69.9","0","true"
"141","19.85","0","true"
"142","78.7","0","true"
"143","57.05","0","true"
"144","91.95","0","true"
"145","19.85","0","true"
"146","60.35","0","true"
"147","-10.65","0","true"
"148","-15.6","0","true"
"149","8.2","0","true"
"150","-19.1","0","true"
"151","-18.5","0","true"
"152","-24.6","0","true"
"153","-12.7","0","true"
"154","39.3","0","true"
"155","44.5","0","true"
"156","73.65","0","true"
"157","19.1","0","true"
"158","20.65","0","true"
"159","39.9","0","true"
"160","46.9","0","true"
"161","14.85","0","true"
"162","76.3","0","true"
"163","76.65","0","true"
"164","65.2","0","true"
"165","74.5","0","true"
"166","69.65","0","true"
"167","21.8","0","true"
"168","24.85","0","true"
"169","85.85","0","true"
"170","115","0","true"
"171","90.95","0","true"
"172","100.65","0","true"
"173","80.8","0","true"
"174","78.45","0","true"
"175","85.65","0","true"
"176","80.65","0","true"
"177","75.8","0","true"
"178","48.8","0","true"
"179","7.4","0","true"
"180","52","0","true"
"181","10.75","0","true"
"182","106.1","0","true"
"183","74.55","0","true"
"184","75.35","0","true"
"185","37.95","0","true"
"186","19.05","0","true"
"187","-8.55","0","true"
"188","85.45","0","true"
"189","11.5","0","true"
"190","70.45","0","true"
"191","40.05","0","true"
"192","33.75","0","true"
"193","37.4","0","true"
"194","54.15","0","true"
"195","96.05","0","true"
"196","62.7","0","true"
"197","13.35","0","true"
"198","22.4","0","true"
"199","32.55","0","true"
"200","20.65","0","true"
"201","14.55","0","true"
"202","59.45","0","true"
"203","27.35","0","true"
"204","8.5","0","true"
"205","65.45","0","true"
"206","47.8","0","true"
"207","63.55","0","true"
"208","15.95","0","true"
"209","34.9","0","true"
"210","18.45","0","true"
"211","53.2","0","true"
"212","24.85","0","true"
"213","71.95","0","true"
"214","26.45","0","true"
"215","13.35","0","true"
"216","46.05","0","true"
"217","20.9","0","true"
"218","-6.05","0","true"
"219","41.1","0","true"
"220","4.5","0","true"
"221","38.85","0","true"
"222","-55.6","0","true"
"223","-34.3","0","true"
"224","-36.6","0","true"
"225","-42.35","0","true"
"226","-16.65","0","true"
"227","10.55","0","true"
"228","16.1","0","true"
"229","-13.25","0","true"
"230","0.45","0","true"
"231","1.6","0","true"
"232","-8.3","0","true"
"233","-21.2","0","true"
"234","24.5","0","true"
"235","11.85","0","true"
"236","30.3","0","true"
"237","77.2","0","true"
"238","16.95","0","true"
"239","35.5","0","true"
"240","-17.1","0","true"
"241","22.6","0","true"
"242","24.25","0","true"
